,price,typ,lat,lon,beds,baths,sqft,zip code,locality,solddate
"50 Seventy Acre Rd Redding, CT 06896","$650,000",SingleFamilyResidence,41.285358,-73.433899,4bd,Error,"1,670 sqft (on 1.85 acres)",06896,Redding,"APR 13, 2022"
"10 Oak Ridge Dr Mahopac, NY 10541","$530,000",SingleFamilyResidence,41.368774,-73.728622,3bd,Error,Error,10541,Mahopac,"APR 12, 2022"
"10 Windsor Pl Norwalk, CT 06854","$535,000",SingleFamilyResidence,41.090416,-73.428558,4bd,Error,Error,06854,Norwalk,"APR 12, 2022"
"163 Bayberry Rd Fairfield, CT 06825","$660,000",SingleFamilyResidence,41.195889,-73.243462,3bd,Error,Error,06825,Fairfield,"APR 12, 2022"
"37 Ferndale Dr Easton, CT 06612","$675,000",SingleFamilyResidence,41.239098,-73.25782,4bd,Error,Error,06612,Easton,"APR 12, 2022"
"4 Brookwood Ln Weston, CT 06883","$490,000",SingleFamilyResidence,41.229733,-73.40741,4bd,Error,Error,06883,Weston,"APR 12, 2022"
"43 Paul St Danbury, CT 06810","$575,000",SingleFamilyResidence,41.356552,-73.460129,3bd,Error,Error,06810,Danbury,"APR 12, 2022"
"17 Spruce St Trumbull, CT 06611","$535,000",SingleFamilyResidence,41.236294,-73.234451,3bd,Error,Error,06611,Trumbull,"APR 12, 2022"
"132 Woodbury Ave Stamford, CT 06907","$540,000",SingleFamilyResidence,41.090176,-73.524475,4bd,Error,Error,06907,Stamford,"APR 12, 2022"
"53 Circle Dr E Ridgefield, CT 06877","$630,000",SingleFamilyResidence,41.322708,-73.517998,3bd,Error,Error,06877,Ridgefield,"APR 11, 2022"
"256 Shore Dr Brewster, NY 10509","$615,000",SingleFamilyResidence,41.43037,-73.609085,4bd,Error,Error,10509,Brewster,"APR 11, 2022"
"256 Shore Dr Brewster, NY 10509","$615,000",SingleFamilyResidence,41.43037,-73.609085,4bd,Error,Error,10509,Brewster,"APR 11, 2022"
"51 Fortuna Dr Fairfield, CT 06824","$675,000",SingleFamilyResidence,41.13448,-73.269005,3bd,Error,"1,261 sqft",06824,Fairfield,"APR 11, 2022"
Error,Error,Error,Error,Error,,Error,Error,Error,Error,Error
Error,Error,Error,Error,Error,,Error,Error,Error,Error,Error
"6 Spitzer Ct Norwalk, CT 06854","$700,000",SingleFamilyResidence,41.099468,-73.445267,3bd,Error,Error,06854,Norwalk,"APR 11, 2022"
"26 Hearthstone Dr Bethel, CT 06801","$635,000",SingleFamilyResidence,41.407623,-73.399979,4bd,Error,Error,06801,Bethel,"APR 11, 2022"
"9 Grammar School Dr Danbury, CT 06811","$490,000",SingleFamilyResidence,41.419445,-73.505241,3bd,Error,Error,06811,Danbury,"APR 11, 2022"
"537 S Pine Creek Rd Fairfield, CT 06824","$578,000",SingleFamilyResidence,41.133205,-73.267365,2bd,Error,Error,06824,Fairfield,"APR 11, 2022"
"12 4th St Norwalk, CT 06855","$637,000",SingleFamilyResidence,41.095497,-73.401352,3bd,Error,Error,06855,Norwalk,"APR 11, 2022"
"44 Glen Ave Stamford, CT 06906","$610,000",SingleFamilyResidence,41.07531,-73.524986,3bd,Error,Error,06906,Stamford,"APR 11, 2022"
"88 Ridge Park Ave Stamford, CT 06905","$625,000",SingleFamilyResidence,41.090992,-73.550499,4bd,Error,Error,06905,Stamford,"APR 11, 2022"
"263 Wilson St Fairfield, CT 06825","$600,000",SingleFamilyResidence,41.202881,-73.229355,3bd,Error,Error,06825,Fairfield,"APR 9, 2022"
"1 Emwilton Pl Ossining, NY 10562","$500,000",SingleFamilyResidence,41.158955,-73.860374,4bd,Error,"4,659 sqft",10562,Ossining,"APR 8, 2022"
"27 Lower Trinity Pass Rd #27A Pound Ridge, NY 10576","$555,000",SingleFamilyResidence,41.185959,-73.550056,3bd,Error,798 sqft (on 1.76 acres),10576,Pound Ridge,"APR 8, 2022"
"111 Park View Rd N Pound Ridge, NY 10576","$572,000",SingleFamilyResidence,41.245926,-73.563705,3bd,Error,"2,162 sqft (on 2.08 acres)",10576,Pound Ridge,"APR 8, 2022"
"459 Oscawana Lake Rd Putnam Valley, NY 10579","$560,000",SingleFamilyResidence,41.386108,-73.844513,3bd,Error,Error,10579,Putnam Valley,"APR 8, 2022"
"19 Phyllis Ln Newtown, CT 06470","$540,000",SingleFamilyResidence,41.356598,-73.313774,4bd,Error,Error,06470,Newtown,"APR 8, 2022"
"3501 Campfire Ct Yorktown Heights, NY 10598","$630,000",SingleFamilyResidence,41.328709,-73.780197,4bd,Error,Error,10598,Yorktown Heights,"APR 8, 2022"
"90 Prospect Hill Rd Brewster, NY 10509","$650,000",SingleFamilyResidence,41.412239,-73.62709,4bd,Error,Error,10509,Brewster,"APR 8, 2022"
"12 Meadowview Ter Monroe, CT 06468","$640,000",SingleFamilyResidence,41.338783,-73.263824,3bd,Error,Error,06468,Monroe,"APR 8, 2022"
"33 Rock Ridge Rd Newtown, CT 06470","$585,000",SingleFamilyResidence,41.383869,-73.346237,4bd,Error,Error,06470,Newtown,"APR 8, 2022"
"50 Lorraine Dr Monroe, CT 06468","$475,000",SingleFamilyResidence,41.346855,-73.223587,3bd,Error,Error,06468,Monroe,"APR 8, 2022"
"12 Hulda Ln Ridgefield, CT 06877","$640,000",SingleFamilyResidence,41.31068,-73.482552,4bd,Error,"1,715 sqft (on 1.07 acres)",06877,Ridgefield,"APR 8, 2022"
"13 Rita Dr New Fairfield, CT 06812","$500,000",SingleFamilyResidence,41.465294,-73.499733,5bd,Error,Error,06812,New Fairfield,"APR 8, 2022"
"25 Pine St Trumbull, CT 06611","$631,500",SingleFamilyResidence,41.235695,-73.232819,3bd,Error,Error,06611,Trumbull,"APR 8, 2022"
"52 Edward Pl Stamford, CT 06905","$670,000",SingleFamilyResidence,41.085754,-73.532173,3bd,Error,Error,06905,Stamford,"APR 8, 2022"
"8 Beauiles Ln Redding, CT 06896","$525,000",SingleFamilyResidence,41.306412,-73.396935,5bd,Error,Error,06896,Redding,"APR 8, 2022"
"1195 Route 35 South Salem, NY 10590","$652,500",SingleFamilyResidence,41.274109,-73.566711,3bd,Error,Error,10590,South Salem,"APR 8, 2022"
"18 Rockhagen Rd Thornwood, NY 10594","$539,900",SingleFamilyResidence,41.11713,-73.770233,2bd,Error,Error,10594,Thornwood,"APR 7, 2022"
"213 Brookside Dr Fairfield, CT 06824","$490,000",SingleFamilyResidence,41.181526,-73.258163,3bd,Error,"1,741 sqft (on 0.32 acres)",06824,Fairfield,"APR 7, 2022"
"265 Stone Hill Rd Pound Ridge, NY 10576","$550,000",SingleFamilyResidence,41.219387,-73.579926,5bd,Error,Error,10576,Pound Ridge,"APR 7, 2022"
"273 Danbury Rd Ridgefield, CT 06877","$619,900",SingleFamilyResidence,41.303879,-73.49189,3bd,Error,Error,06877,Ridgefield,"APR 7, 2022"
"32 Blanchard Rd Easton, CT 06612","$540,000",SingleFamilyResidence,41.234287,-73.262688,3bd,Error,Error,06612,Easton,"APR 7, 2022"
"2400 Route 22 Patterson, NY 12563","$600,000",SingleFamilyResidence,41.473888,-73.579666,3bd,Error,"1,848 sqft (on 3.04 acres)",12563,Patterson,"APR 6, 2022"
"9 Cross Hill Rd Bethel, CT 06801","$540,000",SingleFamilyResidence,41.367531,-73.36158,4bd,Error,"3,006 sqft (on 1.12 acres)",06801,Bethel,"APR 6, 2022"
"7 Hampton Rd Trumbull, CT 06611","$480,000",SingleFamilyResidence,41.257763,-73.229271,5bd,Error,Error,06611,Trumbull,"APR 6, 2022"
"11 Pond Brook Rd Newtown, CT 06470","$625,000",SingleFamilyResidence,41.456116,-73.330894,4bd,Error,Error,06470,Newtown,"APR 6, 2022"
"39 Morningside Dr Ossining, NY 10562","$500,000",SingleFamilyResidence,41.165768,-73.829285,3bd,Error,"1,588 sqft (on 2.60 acres)",10562,Ossining,"APR 6, 2022"
"103 Wood St Mahopac, NY 10541","$664,995",SingleFamilyResidence,41.355206,-73.798454,4bd,Error,"3,425 sqft (on 1.17 acres)",10541,Mahopac,"APR 5, 2022"
"401 Greenfield St Fairfield, CT 06825","$525,000",SingleFamilyResidence,41.177998,-73.232132,4bd,Error,Error,06825,Fairfield,"APR 5, 2022"
"43 Haverhill Rd Trumbull, CT 06611","$600,000",SingleFamilyResidence,41.264999,-73.244247,3bd,Error,Error,06611,Trumbull,"APR 5, 2022"
"33 Arapaho Rd Brookfield, CT 06804","$550,000",SingleFamilyResidence,41.468464,-73.356415,4bd,Error,Error,06804,Brookfield,"APR 5, 2022"
"62 Melbourne Road Ext Norwalk, CT 06851","$536,000",SingleFamilyResidence,41.114597,-73.402458,3bd,Error,"2,214 sqft",06851,Norwalk,"APR 5, 2022"
"137 Riverview Cir Fairfield, CT 06824","$675,000",SingleFamilyResidence,41.169125,-73.272469,3bd,Error,Error,06824,Fairfield,"APR 5, 2022"
Error,Error,Error,Error,Error,,Error,Error,Error,Error,Error
Error,Error,Error,Error,Error,,Error,Error,Error,Error,Error
"6 Great Pond Ln Redding, CT 06896","$526,000",SingleFamilyResidence,41.317047,-73.462372,4bd,Error,Error,06896,Redding,"APR 5, 2022"
"286 Roseville Ter Fairfield, CT 06824","$567,000",SingleFamilyResidence,41.174881,-73.241379,3bd,Error,Error,06824,Fairfield,"APR 5, 2022"
"243A Heritage Hls Somers, NY 10589","$655,000",SingleFamilyResidence,41.338478,-73.682648,3bd,Error,"1,689 sqft (on 2.35 acres)",10589,Somers,"APR 4, 2022"
"344 Willis Ave Hawthorne, NY 10532","$530,000",SingleFamilyResidence,41.107857,-73.79155,3bd,Error,Error,10532,Hawthorne,"APR 4, 2022"
"8 Oakwood Dr Brewster, NY 10509","$467,500",SingleFamilyResidence,41.425575,-73.606003,5bd,Error,Error,10509,Brewster,"APR 4, 2022"
"445 Morehouse Hwy Fairfield, CT 06825","$485,000",SingleFamilyResidence,41.196178,-73.249512,4bd,Error,Error,06825,Fairfield,"APR 4, 2022"
"213 Lynnbrook Rd Fairfield, CT 06825","$570,000",SingleFamilyResidence,41.178879,-73.220314,3bd,Error,Error,06825,Fairfield,"APR 4, 2022"
"134 Barry Ave Ridgefield, CT 06877","$591,000",SingleFamilyResidence,41.284328,-73.514801,3bd,Error,Error,06877,Ridgefield,"APR 4, 2022"
"158 Journeys End Rd New Canaan, CT 06840","$660,000",SingleFamilyResidence,41.210899,-73.485298,3bd,Error,"1,578 sqft (on 1.76 acres)",06840,New Canaan,"APR 4, 2022"
"635 Gilman St Bridgeport, CT 06605","$650,000",SingleFamilyResidence,41.148266,-73.230682,5bd,Error,"2,992 sqft (on 0.27 acres)",06605,Bridgeport,"APR 4, 2022"
"3 Ashwood Ln Brookfield, CT 06804","$665,000",SingleFamilyResidence,41.47504,-73.361664,5bd,Error,"4,802 sqft (on 2.92 acres)",06804,Brookfield,"APR 4, 2022"
"10 Denver Ter Danbury, CT 06811","$650,000",SingleFamilyResidence,41.424076,-73.446228,4bd,Error,Error,06811,Danbury,"APR 4, 2022"
"124 Rakoczy Ave Fairfield, CT 06824","$460,000",SingleFamilyResidence,41.172005,-73.237984,3bd,Error,"1,728 sqft",06824,Fairfield,"APR 4, 2022"
"60 Langstroth Dr Ridgefield, CT 06877","$690,000",SingleFamilyResidence,41.358189,-73.51461,4bd,Error,Error,06877,Ridgefield,"APR 4, 2022"
"2 Billingsley Trl Goldens Bridge, NY 10526","$630,000",SingleFamilyResidence,41.303055,-73.618629,4bd,Error,Error,10526,Goldens Bridge,"APR 4, 2022"
"53C Van Cortlandt Ave Ossining, NY 10562","$450,000",SingleFamilyResidence,41.171024,-73.861809,3bd,Error,"1,950 sqft (on 0.31 acres)",10562,Ossining,"APR 4, 2022"
"62 Melbourne Rd Norwalk, CT 06851","$536,000",SingleFamilyResidence,41.11462,-73.402473,3bd,Error,Error,06851,Norwalk,"APR 1, 2022"
"4200 Congress St Fairfield, CT 06824","$610,000",SingleFamilyResidence,41.191338,-73.299484,4bd,Error,Error,06824,Fairfield,"APR 1, 2022"
"24 Olive Dr Mahopac, NY 10541","$575,000",SingleFamilyResidence,41.346706,-73.7304,4bd,Error,Error,10541,Mahopac,"APR 1, 2022"
"10 Keyrel Ln Mahopac, NY 10541","$699,200",SingleFamilyResidence,41.337574,-73.725075,2bd,Error,Error,10541,Mahopac,"APR 1, 2022"
"47 Gregory St Danbury, CT 06811","$486,000",SingleFamilyResidence,41.400944,-73.483994,3bd,Error,Error,06811,Danbury,"APR 1, 2022"
"5 Sunset Rdg Danbury, CT 06811","$452,000",SingleFamilyResidence,41.396362,-73.507462,3bd,Error,Error,06811,Danbury,"APR 1, 2022"
"440 London Rd Yorktown Heights, NY 10598","$575,000",SingleFamilyResidence,41.317337,-73.796234,4bd,Error,Error,10598,Yorktown Heights,"APR 1, 2022"
"85 Jennifer Ct Yorktown Heights, NY 10598","$535,000",SingleFamilyResidence,41.334927,-73.784081,3bd,Error,Error,10598,Yorktown Heights,"APR 1, 2022"
"8 Willow Run Brookfield, CT 06804","$460,000",SingleFamilyResidence,41.448399,-73.388573,3bd,Error,Error,06804,Brookfield,"APR 1, 2022"
"49 Friendly Rd Mahopac, NY 10541","$550,000",SingleFamilyResidence,41.352654,-73.782082,3bd,Error,"1,814 sqft (on 0.78 acres)",10541,Mahopac,"APR 1, 2022"
"12 Ralto Ct Danbury, CT 06811","$565,000",SingleFamilyResidence,41.40876,-73.526985,3bd,Error,Error,06811,Danbury,"APR 1, 2022"
"100 Blake Dr Fairfield, CT 06824","$618,000",SingleFamilyResidence,41.135475,-73.265915,3bd,Error,Error,06824,Fairfield,"APR 1, 2022"
"Address Not Disclosed Monroe, CT 06468","$530,000",SingleFamilyResidence,41.336075,-73.223709,4bd,Error,Error,06468,Monroe,"APR 1, 2022"
"196 Figlar Ave Fairfield, CT 06824","$625,000",SingleFamilyResidence,41.168488,-73.249634,3bd,Error,Error,06824,Fairfield,"APR 1, 2022"
"7 Butternut Ln New Fairfield, CT 06812","$510,000",SingleFamilyResidence,41.465607,-73.491302,3bd,Error,Error,06812,New Fairfield,"APR 1, 2022"
"84 Wedgewood Rd Trumbull, CT 06611","$640,000",SingleFamilyResidence,41.271008,-73.238342,4bd,Error,"3,744 sqft (on 0.57 acres)",06611,Trumbull,"APR 1, 2022"
"1195 Old Post Rd South Salem, NY 10590","$652,500",SingleFamilyResidence,41.274082,-73.566879,3bd,Error,Error,10590,South Salem,"MAR 31, 2022"
"80 Orchard Hill Rd Carmel, NY 10512","$640,000",SingleFamilyResidence,41.419815,-73.71698,4bd,Error,Error,10512,Carmel,"MAR 31, 2022"
"2838 Strang Blvd Yorktown Heights, NY 10598","$535,000",SingleFamilyResidence,41.302082,-73.818825,4bd,Error,Error,10598,Yorktown Heights,"MAR 31, 2022"
"5 Hearthstone Dr Bethel, CT 06801","$495,000",SingleFamilyResidence,41.412022,-73.40316,3bd,Error,Error,06801,Bethel,"MAR 31, 2022"
"48 Partridge Ln Fairfield, CT 06824","$673,000",SingleFamilyResidence,41.158337,-73.266357,4bd,Error,Error,06824,Fairfield,"MAR 31, 2022"
"10 Cobblestone Trl Danbury, CT 06810","$515,900",SingleFamilyResidence,41.335266,-73.427368,3bd,Error,Error,06810,Danbury,"MAR 31, 2022"
"16 Packer Brook Rd Redding, CT 06896","$690,000",SingleFamilyResidence,41.319893,-73.348389,3bd,Error,Error,06896,Redding,"MAR 31, 2022"
"71 Chestnut Hill Rd Norwalk, CT 06851","$680,000",SingleFamilyResidence,41.150482,-73.394188,2bd,Error,Error,06851,Norwalk,"MAR 31, 2022"
Error,Error,Error,Error,Error,,Error,Error,Error,Error,Error
Error,Error,Error,Error,Error,,Error,Error,Error,Error,Error
"3 Wildwood Ln Norwalk, CT 06850","$634,000",SingleFamilyResidence,41.149139,-73.447662,2bd,Error,Error,06850,Norwalk,"MAR 31, 2022"
"3 Red Oak Ln Norwalk, CT 06850","$665,000",SingleFamilyResidence,41.127636,-73.462234,3bd,Error,Error,06850,Norwalk,"MAR 31, 2022"
"48 Partridge Ln Fairfield, CT 06824","$673,000",SingleFamilyResidence,41.158337,-73.266357,4bd,Error,Error,06824,Fairfield,"MAR 31, 2022"
"10 Cobblestone Trl Danbury, CT 06810","$515,900",SingleFamilyResidence,41.335266,-73.427368,3bd,Error,Error,06810,Danbury,"MAR 31, 2022"
"184 Sport Hill Rd Easton, CT 06612","$615,000",SingleFamilyResidence,41.232826,-73.264244,3bd,Error,"1,713 sqft (on 0.89 acres)",06612,Easton,"MAR 31, 2022"
"15 Brookfield Ave Fairfield, CT 06825","$540,000",SingleFamilyResidence,41.178711,-73.222397,3bd,Error,Error,06825,Fairfield,"MAR 31, 2022"
"43 Olmstead Rd Redding, CT 06896","$480,000",SingleFamilyResidence,41.31813,-73.46447,3bd,Error,Error,06896,Redding,"MAR 31, 2022"
"98 Old Long Ridge Rd Stamford, CT 06903","$525,000",SingleFamilyResidence,41.145264,-73.590096,3bd,Error,Error,06903,Stamford,"MAR 31, 2022"
"62 Ledge Ln Stamford, CT 06905","$545,000",SingleFamilyResidence,41.081005,-73.529312,4bd,Error,Error,06905,Stamford,"MAR 30, 2022"
"8 Indian Hill Ln New Fairfield, CT 06812","$520,000",SingleFamilyResidence,41.457668,-73.495827,3bd,Error,Error,06812,New Fairfield,"MAR 30, 2022"
"259 Crane Rd Carmel, NY 10512","$630,000",SingleFamilyResidence,41.412292,-73.723877,3bd,Error,Error,10512,Carmel,"MAR 30, 2022"
"6 Hazel St Norwalk, CT 06851","$520,000",SingleFamilyResidence,41.128601,-73.402092,3bd,Error,Error,06851,Norwalk,"MAR 30, 2022"
"31 Stadley Rough Rd Danbury, CT 06811","$650,000",SingleFamilyResidence,41.424618,-73.431183,4bd,Error,Error,06811,Danbury,"MAR 30, 2022"
"2382 Sherry Dr Yorktown Heights, NY 10598","$599,000",SingleFamilyResidence,41.286068,-73.825989,3bd,Error,Error,10598,Yorktown Heights,"MAR 30, 2022"
"2514 Crompond Rd Yorktown Heights, NY 10598","$575,000",SingleFamilyResidence,41.289909,-73.795891,3bd,Error,Error,10598,Yorktown Heights,"MAR 30, 2022"
"21 Yale Ct Stamford, CT 06905","$511,000",SingleFamilyResidence,41.091148,-73.549004,3bd,Error,Error,06905,Stamford,"MAR 30, 2022"
"96 Northill St Stamford, CT 06907","$625,000",SingleFamilyResidence,41.092728,-73.522072,3bd,Error,Error,06907,Stamford,"MAR 30, 2022"
"107 Knapp St Stamford, CT 06907","$661,000",SingleFamilyResidence,41.094246,-73.523232,3bd,Error,Error,06907,Stamford,"MAR 30, 2022"
"535 W Hill Rd Stamford, CT 06902","$680,000",SingleFamilyResidence,41.082199,-73.565285,3bd,Error,Error,06902,Stamford,"MAR 30, 2022"
"1132 Hope St Stamford, CT 06907","$530,000",SingleFamilyResidence,41.096977,-73.520485,3bd,Error,Error,06907,Stamford,"MAR 30, 2022"
"22 Sherwood Hill Rd Brewster, NY 10509","$500,000",SingleFamilyResidence,41.445766,-73.547989,2bd,Error,"2,784 sqft (on 3.60 acres)",10509,Brewster,"MAR 29, 2022"
"5 Hillcrest Ln Weston, CT 06883","$685,000",SingleFamilyResidence,41.25507,-73.374413,2bd,Error,Error,06883,Weston,"MAR 29, 2022"
"15 Freddys Ln Brookfield, CT 06804","$460,000",SingleFamilyResidence,41.475342,-73.357483,3bd,Error,Error,06804,Brookfield,"MAR 29, 2022"
"15 Pearsall Way Bridgeport, CT 06605","$620,000",SingleFamilyResidence,41.149025,-73.227928,4bd,Error,Error,06605,Bridgeport,"MAR 29, 2022"
"20 Lacona Rd Mahopac, NY 10541","$542,500",SingleFamilyResidence,41.389977,-73.705055,3bd,Error,Error,10541,Mahopac,"MAR 28, 2022"
"91 Salem Rd Carmel, NY 10512","$490,000",SingleFamilyResidence,41.462959,-73.661011,3bd,Error,Error,10512,Carmel,"MAR 28, 2022"
"29 Senior Ave Mahopac, NY 10541","$505,000",SingleFamilyResidence,41.371536,-73.741318,3bd,Error,Error,10541,Mahopac,"MAR 28, 2022"
"16 S Ridge Rd Mahopac, NY 10541","$656,276",SingleFamilyResidence,41.366688,-73.724991,4bd,Error,Error,10541,Mahopac,"MAR 28, 2022"
"15 Old Woods Rd Brookfield, CT 06804","$686,250",SingleFamilyResidence,41.449535,-73.35714,4bd,Error,"2,333 sqft (on 2.17 acres)",06804,Brookfield,"MAR 28, 2022"
"8 Spring Valley Rd Ossining, NY 10562","$570,000",SingleFamilyResidence,41.191223,-73.852554,3bd,Error,Error,10562,Ossining,"MAR 28, 2022"
"98 Brooklawn Pkwy Fairfield, CT 06825","$650,000",SingleFamilyResidence,41.19709,-73.232132,5bd,Error,"2,908 sqft (on 0.39 acres)",06825,Fairfield,"MAR 28, 2022"
"9 Nature Ln Brookfield, CT 06804","$630,000",SingleFamilyResidence,41.446175,-73.410454,4bd,Error,"3,339 sqft (on 1.23 acres)",06804,Brookfield,"MAR 28, 2022"
"150 Sunnydale Rd Trumbull, CT 06611","$465,000",SingleFamilyResidence,41.227814,-73.224403,3bd,Error,Error,06611,Trumbull,"MAR 28, 2022"
"18 Old Elm Rd Fairfield, CT 06825","$646,500",SingleFamilyResidence,41.209312,-73.246239,4bd,Error,Error,06825,Fairfield,"MAR 28, 2022"
"10 Lolly Ln Stamford, CT 06903","$599,000",SingleFamilyResidence,41.122326,-73.55098,3bd,Error,Error,06903,Stamford,"MAR 28, 2022"
"42 Round Lake Rd Ridgefield, CT 06877","$650,000",SingleFamilyResidence,41.309826,-73.532341,3bd,Error,Error,06877,Ridgefield,"MAR 25, 2022"
"27 Teakettle Spout Rd Mahopac, NY 10541","$540,000",SingleFamilyResidence,41.357708,-73.732544,5bd,Error,Error,10541,Mahopac,"MAR 25, 2022"
"69A Ball Pond Rd Danbury, CT 06811","$635,000",SingleFamilyResidence,41.445042,-73.514526,4bd,Error,Error,06811,Danbury,"MAR 25, 2022"
